,doi,title,year,location,series,keyword_list,author_list,country
10,10.1145/3330204.3330233,Design Science Research to design a conceptual model about prosopographic information related to politicians,2019,"Aracaju, Brazil",SBSI '19,"Conceptual Modeling, Data Transparency, Organized Information, Prosopography Politicial","[""Jos\\'{e} Barroso"", 'Mariano Pimentel', 'Vanessa Nunes', 'Claudia Cappelli']",Brazil
11,10.1145/3209281.3209367,Text mining as a transparency enabler to support decision making in a people management process,2018,"Delft, The Netherlands",dg.o '18,"governance processes, similarity measure, text minning","[""Jos\\'{e} J\\'{u}nior"", 'Claudia Cappelli', 'Kate Revoredo', 'Vanessa Nunes']",The Netherlands
12,10.1145/3209281.3209332,Improvement of transparency through mining techniques for reclassification of texts: the case of brazilian transparency portal,2018,"Delft, The Netherlands",dg.o '18,"transparency, text mining, public procurement, method, Brazil","['Gustavo Almeida', 'Kate Revoredo', 'Claudia Cappelli', 'Cristiano Maciel']",The Netherlands
13,10.1145/3085228.3085279,Organizational Transparency Maturity Assessment Method,2017,"Staten Island, NY, USA",dg.o '17,"Transparency Maturity Model, Transparency Assessment, Organizational Transparency","['Kizzy Benjamin', 'Claudia Cappelli', 'Gleison Santos']",USA
14,10.1145/2925995.2926000,Knowledge Management in Distance Education: an Exploratory Case Study with Group Storytelling Approach,2016,"Hagen, Germany",KMO '16,"3C Collaboration Model, Collaborative Systems, ConTi System, Distance Education, Group Storytelling, Knowledge Management","['Maria Gouv\\^{e}a', 'Flavia Santoro', 'Claudia Cappelli', 'Mariano Pimentel']",Germany
15,10.1145/2912160.2912191,Technologies for popular participation: a research agenda,2016,"Shanghai, China",dg.o '16,"E-Democracy, E-Participation, Transparency","['Cristiano Maciel', 'Claudia Cappelli', 'Cleyton Slaviero', 'Ana Garcia']",China
16,,Externalization of knowledge through Group Storytelling: a case study in online tutoring,2016,"Florianopolis, Santa Catarina, Brazil",SBSI '16,"3C Collaboration Model, Collaborative Systems, ConTi System, Group Storytelling, Knowledge Management","['Maria Gouvea', 'Flavia Santoro', 'Claudia Cappelli', 'Mariano Pimentel']",Brazil
17,,Management of Authorization Rules Using Conceptual Model,2015,"Goiania, Goias, Brazil",SBSI '15,"Authorization rules, Management of authorization Rules, Metamodeling","['Ricardo Sul', 'Bruna Brandao', 'Leonardo Azevedo', 'Fernanda Baiao', 'Claudia Cappelli']",Brazil
18,,Evaluation of a Maturity Model for Agile Governance in ICT using Focus Group,2015,"Goiania, Goias, Brazil",SBSI '15,"Models, Maturity, Governance in Information and Communication Technology, Agile Governance, Agile","['Humberto Almeida', 'Edviges Magalhaes', 'Hermano Moura', 'Jose Teixeira', 'Claudia Cappelli', 'Luiz Martins']",Brazil
19,,"Conceitos de transpar\^{e}ncia como promotores da \'{e}tica e do ""usu\'{a}rio auditor"" em sistemas de informa\c{c}\~{a}o",2014,"Foz do Igua\c{c}u, Brazil",IHC '14,"ethics, human values, responsibility, systems design, user auditor","['Alexandre Pinheiro', 'Claudia Cappelli', 'Cristiano Maciel']",Brazil
20,10.1145/2554850.2555057,Eliciting concepts from the Brazilian access law using a combined approach,2014,"Gyeongju, Republic of Korea",SAC '14,"transparency, text mining, requirement pattern, non-functional requirement, knowledge extraction, NFR framework","['Priscila Engiel', 'Claudia Cappelli', 'Julio Prado Leite']",Republic of Korea
21,10.1145/1960502.1960507,Using goals to identify aspects in business process models,2011,"Porto de Galinhas, Brazil",EA '11,"goals, aspect-oriented business process modeling, aspect identification, GPM","['Fabiana Nogueira Santos', 'Julio Prado Leite', 'Claudia Cappelli', ""Tha\\'{\\i}s Batista"", ""Fl\\'{a}via Santoro""]",Brazil
22,10.1145/1774088.1774151,Transparency versus security: early analysis of antagonistic requirements,2010,"Sierre, Switzerland",SAC '10,"transparency, security, early requirements, antagonistic requirements","['Claudia Cappelli', 'Herbet Cunha', 'Bruno Gonzalez-Baixauli', 'Julio Prado Leite']",Switzerland
23,10.1145/1529282.1529342,Structuring a process management center of excellence,2009,"Honolulu, Hawaii",SAC '09,"process center of excellence, business process lifecycle management, BPM governance","['Rafael Paim', 'Vanessa Nunes', 'Bruno Pinho', 'Flavia Santoro', 'Claudia Cappelli', 'Fernanda Bai\\~{n}o']",Hawaii
24,10.1145/1509825.1509828,An aspect-oriented approach to business process modeling,2009,"Charlottesville, Virginia, USA",EA '09,"composition, business process modeling, aspects","['Claudia Cappelli', 'Julio Leite', 'Thais Batista', 'Lyrene Silva']",USA
