,doi,title,year,location,series,keyword_list,author_list,country
10,10.1145/3160504.3160563,Accessibility and Digital Inclusion: Utopia or a Great Challenge?,2017,"Joinville, Brazil",IHC '17,"Accessibility, digital inclusion, diversity of users","['Simone Ferreira', 'Carolina Sacramento', 'Aline Silva Alves', 'Carla Leit\\~{a}o', 'Denise Maciel', 'Simone Matos', 'Talita Britto']",Brazil
11,10.1145/3019943.3019989,Elderly's Comprehension on Facebook: a Communicability Evaluation,2016,"Vila Real, Portugal",DSAI '16,"Accessibility, Communicability, Elderly, MAC-g","['Carolina Sacramento', 'Simone Ferreira']",Portugal
12,10.1145/3033701.3033712,WhatsApp accessibility from the perspective of visually impaired people,2016,"S\~{a}o Paulo, Brazil",IHC '16,"Accessibility, WhatsApp, social networks, visual impairment","[""Cl\\'{a}udia Silva"", 'Simone Ferreira', 'Jo\\~{a}o Ramos']",Brazil
13,10.1145/3148456.3148488,Communicability on Facebook: evaluating elderly and young users using MAC-g method,2015,"Salvador, Brazil",IHC '15,"Facebook, MAC-g, communicability, elderly, social networks","['Carolina Sacramento', 'Simone Ferreira', 'Aline Alves', 'Fabiana Silva', 'Mariano Pimentel', 'Leonardo Nardi', 'Aura Conci']",Brazil
14,10.1145/3148456.3148463,Using mediation dialogs to improve navigation of low literate users on the web,2015,"Salvador, Brazil",IHC '15,"acessibilidade web, analfabetismo funcional, colabora\c{c}\~{a}o na web, di\'{a}logos de media\c{c}\~{a}o, inclus\~{a}o social","['Bruno Ribeiro', 'Debora Modesto', 'Simone Ferreira']",Brazil
15,,Inspe\c{c}\~{a}o heur\'{\i}stica e observa\c{c}\~{a}o no contexto de uso: um estudo de caso com o RunKeeper,2014,"Foz do Igua\c{c}u, Brazil",IHC '14,"RunKeeper, heuristic inspection, usability, users","[""Hor\\'{a}cio Soares"", 'Ney Cavalcante', ""Let\\'{\\i}cia Di Maio"", 'Simone Ferreira']",Brazil
16,,Analfabetos fncionais e interfaces governamentais: estudo de caso de rupturas de comunica\c{c}\~{a}o do MAC associado ao rastreamento ocular,2014,"Foz do Igua\c{c}u, Brazil",IHC '14,"acessibilidade, analfabetismo funcional, comunicabilidade, e-Gov, m\'{e}todo de avalia\c{c}\~{a}o de, rastreamento ocular","[""Let\\'{\\i}cia Di Maio"", 'Simone Ferreira', 'Morganna Diniz']",Brazil
17,,Usando eyetracker para analisar a intera\c{c}\~{a}o de usu\'{a}rios de alto e baixo letramento,2014,"Foz do Igua\c{c}u, Brazil",IHC '14,"accessibility, eyetracking, human computer-interaction, low-literate users, web interface","[""Let\\'{\\i}cia Di Maio"", 'Ney Cavalcante', 'Simone Ferreira', ""Jos\\'{e} Anjos Rosa"", 'Horacio Soares', 'Aline Alves']",Brazil
18,,Recomenda\c{c}\~{o}es para desenvolvimento de interfaces web em tablet ipad com \^{e}nfase em usu\'{a}rios da terceira idade,2014,"Foz do Igua\c{c}u, Brazil",IHC '14,"elderly, iPad, interface, tablet, usability","['Rafael Almeida', 'Simone Ferreira', 'Horacio Soares']",Brazil
19,,O acesso dos analfabetos funcionais ao conte\'{u}do informacional dos sites governamentais brasileiros,2013,"Manaus, Brazil",IHC '13,"acessibilidade, analfabetismo funcional, inclus\~{a}o social","['Eliane Capra', 'Kizzy Benjamin', 'Simone Ferreira', 'Claudia Capelli', 'Denis Silveira']",Brazil
20,,Novas estrat\'{e}gias comunicativas como fator de qualidade na intera\c{c}\~{a}o de surdos em um sistema organizacional,2013,"Manaus, Brazil",IHC '13,"accessibility, communicability, deafness, mediation dialogs","['Aline Silva Alves', 'Simone Ferreira', 'Viviane Oliveira Veiga', 'Ingrid Monteiro', 'Denis Silveira', 'Alberto Raposo']",Brazil
21,,Acessibilidade de recursos em uma interface de motor de busca com foco em usu\'{a}rios com baixo letramento,2013,"Manaus, Brazil",IHC '13,"accessibility, functional illiteracy, low literacy users, recommendations, search engine interface","[""D\\'{e}bora Modesto"", 'Simone Ferreira']",Brazil
22,,Comunicabilidade em sistemas de informa\c{c}\~{a}o web corporativos: analisando a intera\c{c}\~{a}o de surdos bil\'{\i}ngues,2012,"Cuiaba, Brazil",IHC '12,"accessibility, communicability evaluation, deaf, human-computer interfaces, observation of users","['Aline Silva Alves', 'Simone Ferreira', 'Viviane Oliveira', 'Denis Silva']",Brazil
23,,An\'{a}lise de comportamento da terceira idade ao efetuar uma compra no site Americanas.com,2011,"Porto de Galinhas, Pernambuco, Brazil",IHC+CLIHC '11,"accessibility, e-commerce, elderly users, usability","['Rafael De Almeida', 'Simone Ferreira', 'Denis Da Silveira']",Brazil
24,,Evaluation of web accessibility from the perspective of functional illiteracy,2011,"Porto de Galinhas, Pernambuco, Brazil",IHC+CLIHC '11,"accessibility recommendations, functional illiteracy","['Eliane Capra', 'Simone Ferreira', 'Denis Da Silveira', 'Bruno Ribeiro', ""D\\'{e}bora Modesto""]",Brazil
25,,Accessibility for people with cerebral palsy: the use of blogs as an agent of social inclusion,2011,"Porto de Galinhas, Pernambuco, Brazil",IHC+CLIHC '11,"cerebral palsy, social inclusion, web accessibility","['Ariane Ferreira', 'Simone Ferreira', 'Denis Da Silveira', ""Aur\\'{e}lio Ferreira""]",Brazil
26,,Avalia\c{c}\~{a}o de usabilidade de dispositivos m\'{o}veis de coleta de dados domiciliares atrav\'{e}s de entrevistas baseadas em cen\'{a}rios e tarefas,2010,"Belo Horizonte, Minas Gerais, Brazil",IHC '10,"PDA, design, interviews, methodology, statistics, testing, usability","['Patricia Tavares', 'Luiz Agner', 'Simone Ferreira']",Brazil
27,10.1145/1858477.1858498,Comparative study of accessibility evaluation methods with visual impaired,2009,"Fortaleza, Cear\'{a}, Brazil",WebMedia '09,[],"['Catharine Bach', 'Simone Ferreira', 'Denis Silveira']",Brazil
